sepal length,sepal width,petal length,petal width,class
var5,var3,var4,var3,Iris-versicolor
var5,var1,var4,var3,Iris-versicolor
var5,var3,var3,var3,Iris-versicolor
var3,var2,var4,var3,Iris-versicolor
var3,var2,var3,var3,Iris-versicolor
var4,var3,var3,var3,Iris-versicolor
var3,var4,var3,var3,Iris-versicolor
var3,var2,var3,var3,Iris-versicolor
var3,var1,var3,var3,Iris-versicolor
var4,var2,var3,var3,Iris-versicolor
var3,var2,var3,var4,Iris-versicolor
var3,var1,var3,var4,Iris-versicolor
var3,var2,var3,var4,Iris-versicolor
var6,var5,var4,var4,Iris-versicolor
var4,var1,var6,var4,Iris-virginica
var6,var4,var4,var4,Iris-versicolor
var5,var3,var4,var4,Iris-versicolor
var2,var2,var3,var4,Iris-versicolor
var4,var3,var4,var4,Iris-versicolor
var4,var3,var4,var4,Iris-versicolor
var6,var2,var4,var4,Iris-versicolor
var4,var3,var3,var4,Iris-versicolor
var4,var1,var4,var4,Iris-versicolor
var6,var4,var5,var4,Iris-versicolor
var5,var4,var4,var4,Iris-versicolor
var4,var1,var5,var4,Iris-virginica
var5,var2,var5,var4,Iris-virginica
var4,var3,var4,var4,Iris-versicolor
var5,var2,var4,var4,Iris-versicolor
var5,var5,var4,var4,Iris-versicolor
var4,var1,var4,var4,Iris-versicolor
var2,var4,var4,var4,Iris-versicolor
var3,var4,var4,var4,Iris-versicolor
var4,var2,var5,var4,Iris-versicolor
var4,var5,var4,var4,Iris-versicolor
var6,var4,var6,var5,Iris-virginica
var5,var5,var4,var5,Iris-versicolor
var6,var3,var5,var5,Iris-versicolor
var1,var1,var4,var5,Iris-virginica
var6,var3,var6,var5,Iris-virginica
var6,var4,var6,var5,Iris-virginica
var5,var3,var6,var5,Iris-virginica
var5,var3,var5,var5,Iris-virginica
var5,var4,var5,var5,Iris-virginica
var4,var3,var5,var5,Iris-virginica
var5,var1,var6,var5,Iris-virginica
var4,var3,var5,var5,Iris-virginica
var4,var3,var4,var5,Iris-virginica
var5,var2,var5,var5,Iris-virginica
var4,var5,var4,var5,Iris-versicolor
var4,var2,var4,var5,Iris-virginica
var4,var2,var5,var5,Iris-virginica
var6,var2,var6,var5,Iris-virginica
var4,var2,var5,var5,Iris-virginica
var5,var2,var5,var5,Iris-virginica
var5,var1,var5,var5,Iris-virginica
var6,var2,var6,var5,Iris-virginica
var3,var2,var5,var5,Iris-virginica
var3,var1,var5,var5,Iris-virginica
var6,var6,var6,var5,Iris-virginica
var5,var3,var5,var6,Iris-virginica
var5,var5,var5,var6,Iris-virginica
var6,var3,var5,var6,Iris-virginica
var5,var2,var6,var6,Iris-virginica
var6,var4,var6,var6,Iris-virginica
var6,var5,var6,var6,Iris-virginica
var6,var4,var6,var6,Iris-virginica
var6,var4,var5,var6,Iris-virginica
var5,var2,var6,var6,Iris-virginica
var5,var3,var6,var6,Iris-virginica
var6,var6,var6,var6,Iris-virginica
var6,var3,var6,var6,Iris-virginica
var4,var5,var5,var6,Iris-virginica
var6,var5,var6,var6,Iris-virginica
var5,var5,var5,var6,Iris-virginica
var6,var3,var5,var6,Iris-virginica
var6,var4,var5,var6,Iris-virginica
var6,var4,var6,var6,Iris-virginica
var6,var1,var6,var6,Iris-virginica
var5,var4,var6,var6,Iris-virginica
var5,var5,var6,var6,Iris-virginica
var4,var2,var5,var6,Iris-virginica
var6,var5,var6,var6,Iris-virginica
var5,var5,var6,var6,Iris-virginica
var6,var6,var6,var6,Iris-virginica
